epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,100.963,1.13358,2.65635,0.01874,0.66187,0.66667,0.80489,0.657,1.62267,1.19435,0.01071,2.82082e-05,2.82082e-05,2.82082e-05
40,103.192,1.15956,2.63083,0.01623,0.66187,0.66667,0.80489,0.657,1.62267,1.19435,0.01071,2.84911e-05,2.84911e-05,2.84911e-05
41,105.533,1.00646,1.74778,0.01324,0.70383,0.66667,0.80298,0.65482,1.63377,1.19065,0.01083,2.87504e-05,2.87504e-05,2.87504e-05
42,108.464,1.1223,1.6557,0.01731,0.70383,0.66667,0.80298,0.65482,1.63377,1.19065,0.01083,2.89861e-05,2.89861e-05,2.89861e-05
43,111.303,0.48776,2.94377,0.00936,0.68646,0.67241,0.80379,0.65574,1.63132,1.23369,0.01071,2.91983e-05,2.91983e-05,2.91983e-05
44,114.168,1.03448,1.41116,0.01558,0.68646,0.67241,0.80379,0.65574,1.63132,1.23369,0.01071,2.93869e-05,2.93869e-05,2.93869e-05
45,116.725,0.65357,1.56454,0.01074,0.68346,0.67254,0.80374,0.6484,1.63103,1.27713,0.01063,2.9552e-05,2.9552e-05,2.9552e-05
46,119.026,1.31337,1.81025,0.02224,0.68346,0.67254,0.80374,0.6484,1.63103,1.27713,0.01063,2.96935e-05,2.96935e-05,2.96935e-05
47,121.676,1.01938,1.22053,0.01107,0.69097,0.67502,0.79448,0.64163,1.6484,1.28108,0.01149,2.98114e-05,2.98114e-05,2.98114e-05
48,124.301,1.02092,1.36381,0.01355,0.69097,0.67502,0.79448,0.64163,1.6484,1.28108,0.01149,2.99058e-05,2.99058e-05,2.99058e-05
49,126.673,1.18218,1.65709,0.01445,0.68079,0.67909,0.80497,0.62622,1.66774,1.2425,0.01181,2.99766e-05,2.99766e-05,2.99766e-05
50,129.057,1.0877,1.08692,0.01332,0.68079,0.67909,0.80497,0.62622,1.66774,1.2425,0.01181,3.00238e-05,3.00238e-05,3.00238e-05
51,131.424,0.92687,1.26792,0.0105,0.68541,0.66392,0.80109,0.62015,1.68991,1.27864,0.01232,3.00475e-05,3.00475e-05,3.00475e-05
52,133.77,1.0743,1.04756,0.00953,0.68541,0.66392,0.80109,0.62015,1.68991,1.27864,0.01232,3.00476e-05,3.00476e-05,3.00476e-05
53,136.034,0.79353,1.27564,0.01233,0.68541,0.66392,0.80109,0.62015,1.68991,1.27864,0.01232,3.00242e-05,3.00242e-05,3.00242e-05
54,138.388,1.07836,1.8258,0.0183,0.78634,0.66047,0.87116,0.67023,1.70623,1.23039,0.01252,2.99772e-05,2.99772e-05,2.99772e-05
55,141.341,1.05277,1.33609,0.01087,0.78634,0.66047,0.87116,0.67023,1.70623,1.23039,0.01252,2.99066e-05,2.99066e-05,2.99066e-05
56,143.942,0.83494,1.61223,0.00837,0.78634,0.66047,0.87116,0.67023,1.70623,1.23039,0.01252,2.98125e-05,2.98125e-05,2.98125e-05
57,146.389,0.81708,1.07701,0.00979,0.87632,0.65161,0.87015,0.6697,1.70313,1.23039,0.01239,2.96948e-05,2.96948e-05,2.96948e-05
58,148.722,0.81973,1.08471,0.00766,0.87632,0.65161,0.87015,0.6697,1.70313,1.23039,0.01239,2.95535e-05,2.95535e-05,2.95535e-05
